prior,prob	0.560000	0.440000
increase	0.000492	0.000381
regional	0.000844	0.000054
four	0.000281	0.000326
wednesday	0.000492	0.000054
tires	0.000070	0.000217
second	0.000141	0.000217
errors	0.000141	0.000326
bonuses	0.000070	0.000272
increasing	0.000352	0.000054
affiliates	0.000070	0.000381
k	0.000141	0.000217
i'm	0.000281	0.000272
unit	0.000563	0.000054
derivatives	0.000281	0.000054
therefore	0.000281	0.000272
until	0.000914	0.000326
successful	0.000070	0.000979
brings	0.000211	0.000217
yahoo	0.000070	0.000435
99	0.003938	0.000544
90	0.000211	0.000109
95	0.000070	0.000870
example	0.000281	0.000272
want	0.000281	0.001740
how	0.000563	0.001631
hou	0.014555	0.000054
place	0.000492	0.000816
wrong	0.000070	0.000217
effective	0.000633	0.000217
financial	0.000773	0.000163
message	0.000211	0.000979
re	0.001688	0.000435
encourage	0.000352	0.000054
ate	0.000141	0.000163
today's	0.000070	0.000381
service	0.000211	0.002556
needed	0.000563	0.000163
master	0.000070	0.000217
listed	0.000352	0.000217
legs	0.000070	0.000217
profitbanners	0.000070	0.000272
project	0.000563	0.000652
feeling	0.000211	0.000109
responsible	0.000352	0.000054
shall	0.000141	0.000489
microsale	0.000070	0.000489
letter	0.000070	0.001522
organization	0.000492	0.000054
camp	0.000563	0.000054
saying	0.000070	0.000272
meetings	0.000492	0.000109
nominated	0.000352	0.000054
participate	0.000281	0.000109
layout	0.000070	0.000217
louise	0.000633	0.000054
net	0.000281	0.001794
volatility	0.000352	0.000054
respond	0.000141	0.000435
branding	0.000070	0.000489
best	0.000633	0.001033
never	0.000141	0.000381
here	0.000703	0.002501
debt	0.000422	0.000435
country	0.000352	0.000979
asked	0.000211	0.000109
and	0.019617	0.020662
dhar	0.000352	0.000054
much	0.000703	0.000924
location	0.000844	0.000054
life	0.000141	0.000652
dave	0.000703	0.000054
worked	0.000141	0.000163
things	0.000281	0.000326
cindy	0.000422	0.000054
josey	0.000563	0.000054
corporate	0.000563	0.000109
previous	0.000703	0.000054
had	0.000844	0.000544
easy	0.000070	0.000924
osman	0.000352	0.000054
possible	0.000703	0.000489
desire	0.000070	0.000217
right	0.000211	0.000870
old	0.000141	0.000381
people	0.000563	0.001740
for	0.012024	0.010657
individuals	0.000352	0.000054
valium	0.000070	0.000217
dollars	0.000141	0.000326
o	0.000070	0.000326
son	0.000070	0.000381
support	0.001055	0.000163
joseph	0.000422	0.000163
jana	0.000070	0.000217
happy	0.000352	0.000054
offer	0.000211	0.001359
congratulations	0.000352	0.000163
accounting	0.000422	0.000054
floor	0.000352	0.000054
role	0.001336	0.000054
intend	0.000211	0.000109
time	0.001266	0.001522
hold	0.000070	0.000217
consolidation	0.000281	0.000217
minute	0.000211	0.000163
leave	0.000281	0.000109
team	0.001336	0.000109
sign	0.000141	0.000217
designs	0.000070	0.000272
current	0.000422	0.000272
understanding	0.000422	0.000272
address	0.000141	0.001414
along	0.000070	0.000272
working	0.000422	0.000326
explorer	0.000070	0.000217
spot	0.000352	0.000109
date	0.000352	0.000109
such	0.000281	0.000381
stress	0.000070	0.000326
natural	0.000492	0.000109
st	0.000211	0.000109
so	0.001758	0.001957
sc	0.000070	0.000326
sa	0.000352	0.000054
webpage	0.000070	0.000272
course	0.000070	0.000598
jim	0.000141	0.000163
matches	0.000070	0.000272
aeopublishing	0.000070	0.001631
sponsor	0.000070	0.000272
ilug	0.000070	0.000217
internet	0.000070	0.001686
undercollection	0.000352	0.000054
million	0.000070	0.000870
possibility	0.000211	0.000163
quite	0.000281	0.000109
training	0.000633	0.000109
one	0.000844	0.003099
submit	0.000141	0.000544
vote	0.000070	0.000435
open	0.000422	0.000163
city	0.000070	0.000326
2	0.001828	0.003045
williams	0.000563	0.000054
future	0.000352	0.000544
individualized	0.000281	0.000054
san	0.000352	0.000054
sam	0.000281	0.000054
say	0.000211	0.000272
allen	0.000352	0.000109
turner	0.000141	0.000163
sap	0.001195	0.000054
aside	0.000070	0.000217
instructed	0.000070	0.000217
note	0.000281	0.000381
take	0.000563	0.000707
gibner	0.000633	0.000054
printer	0.001688	0.000054
pages	0.000070	0.000544
lawn	0.000141	0.000163
average	0.000070	0.000272
slow	0.000281	0.000054
going	0.001125	0.000707
resource	0.000211	0.000217
bombs	0.000070	0.000217
harvey	0.000352	0.000054
