prior,prob	0.560000	0.440000
increase	0.000560	0.000450
regional	0.000960	0.000064
four	0.000320	0.000386
wednesday	0.000560	0.000064
tires	0.000080	0.000257
second	0.000160	0.000257
errors	0.000160	0.000386
bonuses	0.000080	0.000322
increasing	0.000400	0.000064
affiliates	0.000080	0.000450
k	0.000160	0.000257
i'm	0.000320	0.000322
unit	0.000640	0.000064
derivatives	0.000320	0.000064
therefore	0.000320	0.000322
until	0.001040	0.000386
successful	0.000080	0.001158
brings	0.000240	0.000257
yahoo	0.000080	0.000515
99	0.004482	0.000643
90	0.000240	0.000129
95	0.000080	0.001029
example	0.000320	0.000322
want	0.000320	0.002059
how	0.000640	0.001930
hou	0.016568	0.000064
place	0.000560	0.000965
wrong	0.000080	0.000257
effective	0.000720	0.000257
financial	0.000880	0.000193
message	0.000240	0.001158
re	0.001921	0.000515
encourage	0.000400	0.000064
ate	0.000160	0.000193
today's	0.000080	0.000450
service	0.000240	0.003023
needed	0.000640	0.000193
master	0.000080	0.000257
listed	0.000400	0.000257
legs	0.000080	0.000257
profitbanners	0.000080	0.000322
project	0.000640	0.000772
feeling	0.000240	0.000129
responsible	0.000400	0.000064
shall	0.000160	0.000579
microsale	0.000080	0.000579
letter	0.000080	0.001801
organization	0.000560	0.000064
camp	0.000640	0.000064
saying	0.000080	0.000322
meetings	0.000560	0.000129
nominated	0.000400	0.000064
participate	0.000320	0.000129
layout	0.000080	0.000257
louise	0.000720	0.000064
net	0.000320	0.002123
volatility	0.000400	0.000064
respond	0.000160	0.000515
branding	0.000080	0.000579
best	0.000720	0.001222
never	0.000160	0.000450
here	0.000800	0.002959
debt	0.000480	0.000515
country	0.000400	0.001158
asked	0.000240	0.000129
and	0.022331	0.024445
dhar	0.000400	0.000064
much	0.000800	0.001094
location	0.000960	0.000064
life	0.000160	0.000772
dave	0.000800	0.000064
worked	0.000160	0.000193
things	0.000320	0.000386
cindy	0.000480	0.000064
josey	0.000640	0.000064
corporate	0.000640	0.000129
previous	0.000800	0.000064
had	0.000960	0.000643
easy	0.000080	0.001094
osman	0.000400	0.000064
possible	0.000800	0.000579
desire	0.000080	0.000257
right	0.000240	0.001029
old	0.000160	0.000450
people	0.000640	0.002059
for	0.013687	0.012609
individuals	0.000400	0.000064
valium	0.000080	0.000257
dollars	0.000160	0.000386
o	0.000080	0.000386
son	0.000080	0.000450
support	0.001201	0.000193
joseph	0.000480	0.000193
jana	0.000080	0.000257
happy	0.000400	0.000064
offer	0.000240	0.001608
congratulations	0.000400	0.000193
accounting	0.000480	0.000064
floor	0.000400	0.000064
role	0.001521	0.000064
intend	0.000240	0.000129
time	0.001441	0.001801
hold	0.000080	0.000257
consolidation	0.000320	0.000257
