Training Error: 0.000000	
count,zeroprob	0	0
0010.2003-12-18.GP	-53.695743	-52.688604
0010.2001-06-28.SA_and_HP	-3689.417177	-3381.099048
0001.2000-01-17.beck	-3535.918583	-4160.185188
0018.1999-12-14.kaminski	-965.647201	-990.262795
0005.1999-12-12.kaminski	-747.471559	-865.846157
0011.2001-06-29.SA_and_HP	-17518.334352	-15660.798148
0008.2004-08-01.BG	-6063.024332	-5737.480780
0009.1999-12-14.farmer	-571.861332	-666.858911
0017.2003-12-18.GP	-218.324629	-205.870590
0011.2001-06-28.SA_and_HP	-1607.855117	-1465.857041
0015.2001-07-05.SA_and_HP	-993.761919	-914.876316
0015.2001-02-12.kitchen	-4911.303935	-5410.489006
0009.2001-06-26.SA_and_HP	-1315.095241	-1237.128525
0017.1999-12-14.kaminski	-370.072433	-385.797513
0012.2000-01-17.beck	-2701.328372	-3335.685208
0003.2000-01-17.beck	-1243.592017	-1497.073312
0004.2001-06-12.SA_and_HP	-961.409413	-879.521308
0008.2001-06-12.SA_and_HP	-961.409413	-879.521308
0007.2001-02-09.kitchen	-1610.565683	-1784.855061
0016.2004-08-01.BG	-701.615794	-643.329167
0015.2000-06-09.lokay	-138.453774	-145.985047
0005.1999-12-14.farmer	-1065.387063	-1367.457368
0016.1999-12-15.farmer	-724.263535	-776.085827
0013.2004-08-01.BG	-1541.547028	-1466.724678
0005.2003-12-18.GP	-7985.711311	-7411.772314
0012.2001-02-09.kitchen	-475.108076	-513.669098
0003.2001-02-08.kitchen	-1299.553170	-1533.721196
0009.2001-02-09.kitchen	-5557.291724	-6276.101227
0006.2001-02-08.kitchen	-9463.162446	-10311.283692
0014.2003-12-19.GP	-179.472225	-168.503038
0010.1999-12-14.farmer	-1331.160663	-1786.639919
0010.2004-08-01.BG	-2540.228920	-2296.091070
0014.1999-12-14.kaminski	-1729.741826	-2146.862745
0006.1999-12-13.kaminski	-478.104117	-506.480299
0011.1999-12-14.farmer	-1864.347246	-2055.640412
0013.1999-12-14.kaminski	-1232.202033	-1609.623594
0001.2001-02-07.kitchen	-330.215531	-390.536082
0008.2001-02-09.kitchen	-4023.378377	-4826.387119
0007.2003-12-18.GP	-1300.411813	-1221.491249
0017.2004-08-02.BG	-2698.512250	-2565.820380
0014.2004-08-01.BG	-817.625619	-781.771891
0006.2003-12-18.GP	-1160.125158	-1099.629736
0016.2001-07-05.SA_and_HP	-993.761919	-914.876316
0008.2003-12-18.GP	-1087.228128	-991.891593
0014.2001-07-04.SA_and_HP	-3844.050523	-3531.027979
0001.2001-04-02.williams	-1324.731975	-1375.649881
0012.2000-06-08.lokay	-882.268083	-910.584309
0014.1999-12-15.farmer	-1148.752708	-1342.404095
0009.2000-06-07.lokay	-2612.706655	-2974.106118
0001.1999-12-10.farmer	-42.161465	-45.773974
0008.2001-06-25.SA_and_HP	-4882.807069	-4329.083277
0017.2001-04-03.williams	-426.987854	-444.118067
0014.2001-02-12.kitchen	-1393.359881	-1570.923035
0016.2001-07-06.SA_and_HP	-18721.876702	-16548.902586
0015.1999-12-15.farmer	-809.285271	-977.534057
0009.1999-12-13.kaminski	-6224.849893	-8836.419140
0001.2000-06-06.lokay	-3570.026736	-4022.693413
0011.2004-08-01.BG	-698.982829	-653.395042
0004.2004-08-01.BG	-805.239892	-767.980386
0018.2003-12-18.GP	-3585.955761	-3392.113678
0002.1999-12-13.farmer	-2838.046962	-3359.001755
0016.2003-12-19.GP	-836.975305	-772.025491
0004.1999-12-14.farmer	-1085.559788	-1450.146478
0015.2003-12-19.GP	-1387.937116	-1263.718616
0006.2004-08-01.BG	-1088.644956	-1025.300738
0009.2003-12-18.GP	-814.785935	-752.760393
0007.1999-12-14.farmer	-670.897497	-759.693336
0005.2000-06-06.lokay	-409.071197	-432.388698
0010.1999-12-14.kaminski	-195.961836	-222.065446
0007.2000-01-17.beck	-2712.837530	-3349.948691
0003.1999-12-14.farmer	-76.059160	-93.913451
0003.2004-08-01.BG	-801.856081	-753.017348
0017.2004-08-01.BG	-907.909015	-861.693995
0013.2001-06-30.SA_and_HP	-31159.644601	-27903.510343
0003.1999-12-10.kaminski	-403.858124	-464.070055
0012.1999-12-14.farmer	-3145.572059	-3684.797383
0004.1999-12-10.kaminski	-1057.984407	-1211.986277
0018.2001-07-13.SA_and_HP	-3465.455045	-3253.328834
0002.2001-02-07.kitchen	-430.634558	-447.142540
0007.2004-08-01.BG	-1649.297963	-1437.688362
0012.1999-12-14.kaminski	-968.320680	-1301.968907
0005.2001-06-23.SA_and_HP	-196.688627	-183.614804
0007.1999-12-13.kaminski	-1491.477757	-1681.245269
0017.2000-01-17.beck	-2710.666049	-3347.318864
0006.2001-06-25.SA_and_HP	-391.213193	-372.602068
0006.2001-04-03.williams	-292.913667	-307.062659
0005.2001-02-08.kitchen	-862.777602	-978.745645
0002.2003-12-18.GP	-1363.204777	-1250.520165
0003.2003-12-18.GP	-869.179297	-822.560504
0013.2001-04-03.williams	-643.990590	-673.124978
0004.2001-04-02.williams	-661.416034	-701.340966
0010.2001-02-09.kitchen	-2974.118733	-3427.785554
0001.1999-12-10.kaminski	-28.548664	-30.627061
0013.1999-12-14.farmer	-1753.714026	-1928.200744
0015.1999-12-14.kaminski	-659.219931	-741.609204
0012.2003-12-19.GP	-166.851470	-152.931056
0016.2001-02-12.kitchen	-1148.982688	-1335.575920
0002.2004-08-01.BG	-870.726916	-825.281634
0002.2001-05-25.SA_and_HP	-640.407173	-588.669618
0011.2003-12-18.GP	-556.703459	-507.708419
